PlayerId,GameGroupName,GameName,BetQuantity,BetAmount,PurchaseTime,Purchasedate
723713783,Lucky 3,Lucky3 Morning ,1,50,1/6/2020 2:29,1/6/2020
721207941,Lucky 3,Lucky3 Morning ,1,200,1/6/2020 5:46,1/6/2020
722276226,KENNO,MON KENNO,1,50,1/6/2020 6:37,1/6/2020
722508537,KENNO,MON KENNO,1,50,1/6/2020 6:41,1/6/2020
727445330,Lucky 3,Lucky3 Morning ,1,50,1/6/2020 7:16,1/6/2020
721558753,KENNO,MON KENNO,1,50,1/6/2020 7:16,1/6/2020
724408073,KENNO,MON KENNO,1,50,1/6/2020 8:09,1/6/2020
724408073,Lucky 3,Lucky3 Morning ,1,50,1/6/2020 8:11,1/6/2020
724379667,Lucky 3,Lucky3 Morning ,1,50,1/6/2020 8:12,1/6/2020
723794134,KENNO,MON KENNO,1,50,1/6/2020 8:41,1/6/2020
720464768,Lucky 3,Lucky3 Morning ,1,50,1/6/2020 9:25,1/6/2020
720464768,Lucky 3,Lucky3 Morning ,1,100,1/6/2020 9:29,1/6/2020
720464768,Lucky 3,Lucky3 Morning ,1,50,1/6/2020 9:34,1/6/2020
726808291,KENNO,MON KENNO,4,200,1/6/2020 10:52,1/6/2020
722348817,Lucky 3,Lucky3 Lunch,1,200,1/6/2020 10:56,1/6/2020
746378879,KENNO,MON KENNO,1,50,1/6/2020 11:06,1/6/2020
711809054,KENNO,MON KENNO,1,50,1/6/2020 11:23,1/6/2020
711809054,Lucky 3,Lucky3 Lunch,1,50,1/6/2020 11:24,1/6/2020
720464768,Lucky 3,Lucky3 Lunch,1,50,1/6/2020 12:01,1/6/2020
728041667,KENNO,MON KENNO,1,50,1/6/2020 12:07,1/6/2020
720464768,Lucky 3,Lucky3 Lunch,1,50,1/6/2020 12:15,1/6/2020
722511805,Lucky 3,Lucky3 Lunch,1,100,1/6/2020 12:21,1/6/2020
722511805,KENNO,MON KENNO,2,100,1/6/2020 12:22,1/6/2020
740325305,KENNO,MON KENNO,1,50,1/6/2020 12:30,1/6/2020
740325305,Lucky 3,Lucky3 Lunch,1,50,1/6/2020 12:32,1/6/2020
720464768,Lucky 3,Lucky3 Lunch,1,50,1/6/2020 12:32,1/6/2020
723316738,Lucky 3,Lucky3 Lunch,1,50,1/6/2020 12:47,1/6/2020
721488672,Lucky 3,Lucky3 Lunch,1,200,1/6/2020 12:49,1/6/2020
721488672,Lucky 3,Lucky3 Lunch,1,140,1/6/2020 12:51,1/6/2020
721258912,Lucky 3,Lucky3 Evening,1,350,1/6/2020 12:59,1/6/2020
722821055,KENNO,MON KENNO,1,50,1/6/2020 13:03,1/6/2020
725386300,Lucky 3,Lucky3 Evening,1,50,1/6/2020 13:04,1/6/2020
722821055,Lucky 3,Lucky3 Evening,1,50,1/6/2020 13:07,1/6/2020
722821055,KENNO,MON KENNO,1,50,1/6/2020 13:14,1/6/2020
722821323,Lucky 3,Lucky3 Evening,1,200,1/6/2020 13:24,1/6/2020
724484981,KENNO,MON KENNO,2,100,1/6/2020 13:31,1/6/2020
720020434,KENNO,MON KENNO,1,50,1/6/2020 13:47,1/6/2020
720020434,Lucky 3,Lucky3 Evening,1,50,1/6/2020 13:48,1/6/2020
721556460,KENNO,MON KENNO,1,50,1/6/2020 13:53,1/6/2020
721488672,Lucky 3,Lucky3 Evening,1,120,1/6/2020 14:04,1/6/2020
722239366,KENNO,MON KENNO,1,50,1/6/2020 14:12,1/6/2020
725386300,KENNO,MON KENNO,1,50,1/6/2020 14:29,1/6/2020
723713783,Lucky 3,Lucky3 Evening,1,50,1/6/2020 14:57,1/6/2020
721488672,KENNO,MON KENNO,2,100,1/6/2020 15:14,1/6/2020
722723106,KENNO,MON KENNO,1,50,1/6/2020 15:16,1/6/2020
722723106,KENNO,MON KENNO,2,100,1/6/2020 15:19,1/6/2020
